index,title,genre,summary
2570,The Pyramid. The Soviet Mafia,thriller," The 260 pages of the book are divided in 27 chapters. The first part describes the motives for the Soviet corruption. The second part shows how Soviet Intelligence finds out about so called Uzbek Affair. To the common Russians some names in this book became synonymous with corruption, nepotism and the Great Cotton Scandal of the late Brezhnev period. At last few episodes from life of Brezhnev's family (Galina Brezhneva and others)."
3835,The Kill Artist,thriller,"Gabriel Allon had a simple but brutal job: he tracked down and eliminated Israel's terrorist enemies. But when his wife and son fell victim to the danger that accompanied him everywhere, Gabriel quit and devoted himself to the work of art restoration, an occupation that had previously been a cover for his secret assignments. Now Ari Shamron, the head of Israeli intelligence, needs Gabriel's particular kind of experience to thwart a Palestinian plot to destroy the peace negotiations in the Middle East. The architect of this plot, a Palestinian zealot named Tariq, is a lethal part of Gabriel's past, so as the two begin an intercontinental game of hide-and-seek, with life and death as the prizes, the motives are as personal as they are political.
The story features a vivid and fascinating supporting cast, including the magus-like Ari Shamron, a beautiful French Jewish model who is seeking retribution for her family's death in the Holocaust, and a marvelously comic down-at-the-heels London art dealer. Set these colorful and varied characters against a brilliant background of political intrigue and vengeance at the highest levels and a manhunt that covers three continents, and the result is a smart and electrically exciting global thriller.
(less)"
2601,Darkhouse,thriller," The novel kicks off in New York City with the abduction of a wealthy couple's young daughter. The girl's mother Elise Gray is being tailed by Detective Joe Lucchesi, his partner Danny Markey and two FBI agents. The kidnapper Donnie Riggs calls Elise and directs her to a park. He lets the girl, Hayley, out of his car and she runs to her mother. Elise discovers that Hayley is strapped with explosives as she embraces her, but she is too late as Riggs presses the detonator, killing them both. Joe pursues the kidnapper and guns him down. Two days later, in a Nevada prison, inmate Duke Rawlins is distraught to learn of the death of Donnie, his childhood friend. One year passes and Joe Lucchesi has relocated to Ireland with his interior designer wife Anna and sixteen-year-old son Shaun. Joe has taken temporary retirement from the force, Anna is renovating an old lighthouse and Shaun is dating a local girl called Katie Lawson. At first it seems that their family life is idyllic but Anna has a dark secret. She had a secret affair with local drunk John Miller, a man now embittered at his wife having moved to Australia with his children. Joe's turbulent relationship with his father, Giulio, is highlighted as he travels over to the States to attend his second marriage. Giulio clashes with Joe over his career choice and moving his family to Ireland. To make matters worse, Katie disappears from the area leaving Shaun deeply upset. Meanwhile, in a parallel subplot, Duke Rawlins has been travelling around Ireland and has reached Mountbatton. An investigation is launched in Mountbatton into Katie's mysterious disappearance. Her devastated mother Martha insists that her daughter was a happy-go-lucky teenager with many friends and a caring boyfriend; she had no reason to go missing. Shaun comes under suspicion as he was the last person to see her; Joe himself cannot help but think that his son is hiding something and even looks for some sort of clues in his bedroom. Shaun becomes indignant at his father taking on the role of investigator and suspecting him of withholding information. Joe finds himself seeing red herrings everywhere in the community. He questions Shaun's friend Robert Harrington about a scratch on his hand, much to Shaun's annoyance. He also sees John Miller as a possible suspect. Anna in the meantime has to deal with Joe asking her awkward questions about her involvement with Miller. The locals conduct a search of the surrounding area to no avail. Local Sergeant Frank Deegan, hotshot D.I. Myles O' Connor and fiery garda Richie Bates question Mae Miller, the elderly mother of John Miller and mentally challenged school caretaker Petey Grant amongst others but come no closer to the truth. Joe does his own investigating, retracing routes that Katie may have taken and asks questions, however, his theories are dismissed by Richie who tells him to stay out of the case. After a number of weeks, Katie's decomposing body is discovered in the forest near Shore's Rock, the lighthouse where the Lucchesis live. The post mortem results reveal that Katie had been strangled and beaten with a blunt instrument. With the community baffled by the brutal murder of such a popular teenager, the Lucchesi family begin to fall apart. Shaun is inconsolable over his girlfriend's death and Anna becomes increasingly paranoid about what Joe knows. She confesses to him that she had been seeing John Miller while they were engaged which makes Joe furious. Meanwhile, the authorities are told to pay particular attention to Shaun and also to Joe who had been seen removing evidence from the murder scene. The night after Katie's funeral, one of the locals has an altercation with Duke Rawlins outside the bar and finds a hawk gold pin after Duke flees. He shows it to a shocked Joe who recognises it as being the same pin that Donnie Riggs had in his hand when he shot him. Flashbacks to Donnie and Duke's childhood in Texas run concurrent to the main murder plot. They both grow up in Stinger's Creek and are inseparable. Duke is very close to his kindly Uncle Bill but has to deal with a lot of hardship in his life in the form of a drug addicted, promiscuous mother and the unwanted attentions of a paedophile. Donnie also has domestic strife as his father is a negligent alcoholic, while Duke's negative surroundings are moulding him into a deeply disturbed boy with a penchant for violence. At the age of fifteen the two boys make a chilling blood pact to remain loyal to one another until the end, a precursor to their later dastardly actions. With Joe now convinced that Duke Rawlins is after him with revenge on his mind, he once again clashes with Richie Bates when he takes Petey Grant in for questioning over the murder. However, Petey reveals that he met Katie on the night of her death and that she had had a fight with Shaun, something which Shaun had earlier disputed. When he is interrogated by Richie and Frank Deegan he admits that a failed attempt at sexual intercourse had caused Katie to become upset and run away from him. Frank is shocked to discover, in the meantime, that his phone number was the last that Katie had dialed on the fateful night. While researching Duke Rawlins, Joe discovers that Ogden Parnum, a former Police Chief from Stinger's Creek has committed suicide. Joe is intrigued to find that he was head of the unsolved Crosscut Killer investigation, an infamous serial killer who raped and murdered nine young women in Texas. Across the Atlantic, Danny Markey questions the cellmate of Duke Rawlins, who reveals that Donnie was getting the ransom money for Duke upon his release from jail. Back in Mountbatton, Joe is now convinced that Duke and Donnie are connected to the Crosscut Killer mystery and is liaising with American Detective Victor Nicotero on the theory. Anna is horrified as she discovers that Joe is planning on being reinstated with the force, while Joe clashes with his father again as he has bought Shaun a ticket to New York to stay with him. Anna is subsequently kidnapped by Duke when he poses as a replacement gardener for a photoshoot she is doing. Joe saves a desperate Shaun from a drunken suicide attempt, only to then discover that Anna is missing... Additional flashback sequences to Texas, show how Duke and Donnie embarked upon their sadistic rampage of rape and murder as they callously slayed a succession of innocent young women, proving that they were behind the Crosscut killings. State pathologist Lara McClatchie contacts Frank Deegan telling him that were no similarities in the deaths of the Crosscut victims to Katie's murder but the recent murder of a young Limerick woman bear the same hallmarks. Frank now realises that Joe's theory about Duke Rawlins being in Ireland is true. Still in under the belief that Anna has walked out on him and Shaun, Joe receives a call from Duke who is holding Anna in a remote cottage. He threatens to kill her unless Joe complies with his wishes. He discovers that Duke has a missing Tipperary woman, Siobhan Fallon, in his clutches too. As Duke taunts him on the phone about Anna, Joe turns the tables on the kidnapper by telling Duke about how his wife, Sammi, has been unfaithful to him. He informs Duke that she had been having an affair with Donnie while he was in prison and that she has gone to the police in Stinger's Creek confessing that her husband is the Crosscut Killer. The ransom money hadn't been for Duke, it was for Donnie and Sammi to have a fresh start with. While Joe is on the phone to Duke, Shaun overhears and is furious that Joe won't go to the Gardaí. Meanwhile, in Texas, Victor Nicotero visits Ogden Parnum's widow on the pretense of investigating her husband's suicide. She tells Victor that Marcy Winbaum, a DA, who worked with Ogden some years previously came to visit him shortly before his death. Parnum's widow was suspicious over a heated conversation that Marcy had with her husband. It is revealed in a flashback to 1992, that Marcy had uncovered evidence linking Duke Rawlins to the Crosscut murders. Ogden questions Duke, who blackmails his interrogator as he was the paedophile who abused him as a child. Ogden provided Duke with an alibi, which allowed him to get away with his heinous crimes. Duke brutally murders Siobhan in front of captive Anna who then tries to escape. Joe discovers Siobhan's body before finding a badly wounded Anna, who Duke had fired an arrow at. Duke then grabs Shaun and holds him over the edge of the lighthouse balcony in a precarious stand-off with Joe. With both Shaun and Anna's lives in jeopardy, Joe is issued with an ultimatum, call 999 for medical assistance for Anna or Shaun plummets to his death. Joe chooses to save Shaun and Duke escapes as an ambulance arrives at the lighthouse for Anna. Richie and Joe pursue Duke but lose him. In a fresh twist, a drug dealer reveals that Richie had murdered Katie as she had witnessed him tipping off the criminal. Richie is arrested for Katie's murder while Duke escapes the country. In the novel's epilogue, Joe and Shaun are back in New York with Giulio with a traumatised Anna recuperating in her native Paris. It seems that the Lucchesis' marriage has broken down until Shaun receives a call from Anna saying that she is coming home to them."
3779,The President Is Missing,thriller,"President Bill Clinton and bestselling novelist James Patterson have written a spellbinding thriller, The President is Missing.

As the novel opens, a threat looms. Enemies are planning an attack of unprecedented scale on America. Uncertainty and fear grip Washington. There are whispers of cyberterror and espionage and a traitor in the cabinet. The President himself becomes a suspect, and then goes missing...

Set in real time, over the course of three days, The President Is Missing is one of the most dramatic thrillers in decades. And it could all really happen. The President Is Missing is Bill Clinton and James Patterson's totally authentic and spellbinding thriller. (less)"
3811,Someone We Know,thriller,"Maybe you don't know your neighbors as well as you thought you did . . .

""This is a very difficult letter to write. I hope you will not hate us too much. . . My son broke into your home recently while you were out.""

In a quiet, leafy suburb in upstate New York, a teenager has been sneaking into houses--and into the owners' computers as well--learning their secrets, and maybe sharing some of them, too.

Who is he, and what might he have uncovered? After two anonymous letters are received, whispers start to circulate, and suspicion mounts. And when a woman down the street is found murdered, the tension reaches the breaking point. Who killed her? Who knows more than they're telling? And how far will all these very nice people go to protect their own secrets?

In this neighborhood, it's not just the husbands and wives who play games. Here, everyone in the family has something to hide . . .

You never really know what people are capable of. (less)"
2780,USS Seawolf,thriller," The story begins with a United States Navy submarine, the , on a mission to spy on the new Chinese nuclear missile submarine. The mission is successful until the submarine's second-in-command, the president's son Linus Clark makes a fatal error, and the submarine collides with a sonar array from a Chinese ship that is searching for them. The crew is imprisoned and tortured while the Chinese begin to strip the captured submarine for its secrets. Desperately, Arnold Morgan, the National Security Advisor, plans a mission to get the crew back, safeguard the sub's secrets, and punish the Chinese. He sends Navy SEALs to the island where survivors are being held and an American FA-18 Hornet to destroy the USS Seawolf which is being held in Canton harbor. But after the daring mission, several high-ranking U.S. Navy personnel and several members of the Joint Chiefs of Staff resign when the president prevents his son from facing a court-martial for his part in the loss of the Seawolf. In an angry fit of revenge, the President uses his considerable influence to have the Seawolfs commander, court-martialed for not being on the bridge at the time of Linus' error. (The final premise of the book is in error, bordering on the absurd - as written on page 430, 1st ed. hardback, the CO of the Seawolf was convicted at court-martial for ""gross negligence...on the grounds that he had been absent from his place of duty in the face of the enemy"". But no state of war had been declared, so China was NOT an enemy of the USA. No military court would have issued such a verdict."") This causes Morgan to resign and destroys the president's credibility in the military, as well as destroying the president's ability to lead in a crisis situation. In a later novel, Robinson continues to build on the conflict between the discredited president and the military by further developing the character of Arnold Morgan. The novel identifies the Type 094 as ""Xia III-class."" The Type 094 submarine does exist, but its NATO reporting name is ""Jin-class."" And a ""Xia Class"" submarine does exist, though only a single Xia Class boat was made. It is not known if this somewhat jumbled name is an error, or simply artistic license taken by the author since the Type-094 is an improved design based on the original Xia Class submarine (Type 092), although the Type 093 submarine is an attack submarine and not a missile submarine."
2925,The Stars Shine Down,thriller," The novel tells the story of Lara Cameron, a successful real estate developer who came from a broken family in Nova Scotia. Lara's mother dies in childbirth and her Scottish father doesn't want her. Early in life, she learns to fend for herself and how to get her own way in a male-dominated world. After her father's death, Lara makes a deal with the owner of the boarding house to secure her first building in exchange for her body. Thrilled at her success, she moves to Chicago to start her real estate empire. Even though she encounters many problems, she is able to overcome them all and become one of America's most successful businesswomen, and receives the nickname, ""Iron Butterfly."" She falls in love with a talented pianist, Philip Alder, and marries him. She is on the verge of losing everything she has achieved as well as the one man she loves, but the Iron Butterfly miraculously recovers from all her shattered dreams and gains back all her hopes and the only man whom she ever truly loved. bg:Звездите над нас es:Escrito en las estrellas ne:द स्टारस् साइन डाउन pt:The Stars Shine Down"
2904,Double Cross,thriller," Four years ago, Kyle Craig is sent to prison after his crimes in Roses Are Red and Violets Are Blue and swears revenge upon the person who caught him - Detective Alex Cross. Now, four years later, Alex Cross is on a date with police officer, Brianna 'Bree' Stone, when they are interrupted by the news of crime-writer author, Tess Olsen's death. Upon arriving in Washington, Alex decides to help in the investigation, even though he is no longer a detective. They find a Hallmark greeting card, and find a tape featuring the killer, whom threw Olsen from a balcony in her apartment. In the video, he turns toward the camera, and says ""In your honor"". Alex, Bree, and Alex's bestfriend/co-worker, John Sampson discover the footage of the murder was used twice. After this puzzling news, the murderer goes to a play and kills Matthew Jay Walker, a male actor, later posting videos of his murders on the internet. Alex realizes that the murderer wants an audience, and therefore is nicknamed 'DCAK' (The Washington DC Audience Killer). Alex then goes to work and talks to Sandy Quinlan, a sex-crazed woman seeking therapy from Alex and later meets another patient, Anthony Demao, who is a war-veteran that killed his partner, Matthew under Matthew's orders and pleas, since 'Mat' was dying anyway. As the murders get more serious, Alex decides to once again work with the DC police department while also being a psychologist for therapy. It is then apparent that DCAK is doing a role-play as every time he kills someone, he has a different alter-ego. The killer sets up so many websites featuring footage, pictures, and messages from him or his victims. Meanwhile, in Florence, Italy, Kyle Craig is in prison when he receives a visit from his lawyer, Mason Wainwright, who is a big fan of Kyle. Wainwright puts on a human-like mask of Kyle's face and gives one with his face to Kyle, allowing Kyle to escape and Mason to stay in his place - only to die shortly afterward. Alex learns of Craig's escape and goes to Florence where he reviews footage of Olsen speaking to Kyle during an interview for her latest book; back in DC, FBI agent, Brian Kitzmiller 'Kitz' is assigned to Sampson, Bree, and Alex. An impostor of DCAK, wearing a Richard Nixon mask, kidnaps a teen couple, and kills the boy while the girl is run over. Meanwhile, Kyle visits his mother, who had, according to Craig, let his father bet Kyle when he was a kid, resulting in Kyle stealing money from his mother, then shooting and killing his mother. In Iowa, Kyle murders a woman after pretending to wish to sleep with her, he then flees. Alex goes to the office and witnesses Sandy give Anthony a hand job. He demands to speak with Sandy while Anthony waits outside, though Anthony runs off. Later that day, the two meet at a coffee shop where they kiss and then 'tongue' each other, as Sandy shouts at all in the restaurant ""it's ok, he's my brother"". Anthony then sits he received a message from Kyle announcing he wishes to see DCAK - implying they are DCAK. Alex, Sampson, and Bree go to a press conference in Baltimore, where Alex finds a message saying he is missing the ""show"" from DCAK. He learns the person who originally had this message is a female, and he is able to track her, but she escapes in her car. Alex, in pursuit of the woman, eventually looses them and goes to Washington where in National Air and Space Museum, where a married/pregnant woman named Abby Courlevais. Upon returning home, Alex learns from his kids, Alex 'Ali' Jr. and Jannie, and his grandmother, Nana, that his oldest son, Damon, has run away. Sampson is able to find Damon, who is playing basketball. Alex immediately scolds Damon, then apologizing, for missing a Crushing - a prep school in Massachusetts - meeting that would allow Damon to attend the school. Trying to find peace for a moment - Alex and Bree go to a hotel and make love. Eventually, they receive a message from DCAK who announces he has caught the impostor and uses a helicopter to throw the body of the impostor on the roof of a nearby roof. Alex and Bree use a ladder to get to the roof where they find Kitz' dead body; Bree gets back on the street where she is asked for a interview from Neil Stepehns, a 'reporter' who then punches Bree in the face, revealing himself to be DCAK, he leaves. Alex later suspects that Tyler Bell, the brother of Michael Bell - a murderer that Alex had killed - is DCAK. Kyle Craig then kills another girl, a maid, in his hotel in Paris. Kyle arrives in Washington and murders Judge Nina Wolff, who sentenced him to prison. Meanwhile, Sandy says she will be leaving to Michigan and gives Alex a kiss before leaving. Tracking down Bell's former house - a cabin in the woods, where Alex and Bree learn that Bell purchased milk many days before he was last seen, causing Alex to get suspicious. Alex then discovers DCAK has kidnapped Sampson; when returning to Washington, Alex finds a phone attached to his car. He is given directions to DCAK's hideout, where he is chased by a woman. After arriving at the designated destination, Alex and Bree are tied to chairs while DCAK reveals he has also pretended to be Anthony and Stephens; the woman is his sister, who has acted as Sandy. After angering DCAK, who reveals he is not Bell - since he killed Bell himself. Bree manages to escape her bounds, and shoot and kill Sandy. DCAK escapes with Alex in pursuit, this leads to a chase through a Mexican-food restaurant where Alex stabs DCAK, defeating - but not killing - him. However, Kyle Craig appears, revealing he is a so-called fan of DCAK and that Anthony, Sandy, and Mason are fans of Craig. Alex is nearly killed by Kyle when Bree shows up and shoots him, killing him. He then gets up and runs away, after attempting to shoot Bree, but purposely misses. At the hospital, Alex realizes DCAK and his sister are really Aaron and Sarah Dennison, Aaron then curses at Alex, vowing revenge, which Alex dissmisses. The book ends with Alex taking Damon to Massachusetts to go to Crushing, when Alex receives a message stating there has been a murder in Georgetown, setting up the events for Cross Country."
3907,Split Second,thriller,"Michelle Maxwell has just wrecked her promising career at the Secret Service. Against her instincts, she let a presidential candidate out of her sight for the briefest moment and the man whose safety was her responsibility vanished into thin air. Sean King knows how the younger agent feels. Eight years earlier, the hard-charging Secret Service agent allowed his attention to be diverted for a split second. And the candidate he was protecting was gunned down before his eyes. Now Michelle and Sean are about to see their destinies converge.

Drawn into a maze of lies, secrets, and deadly coincidences, the two discredited agents uncover a shocking truth: that the separate acts of violence that shattered their lives were really a long time in the making – and are a long way from over…. (less)"
2596,Antispin,thriller," Eight-hundred Chinese soldiers are found dead on the Chinese-Pakistan border. No wounds, no clues, no signs of battle. An American doctor working in Venezuela discovers an entire village dead without apparent cause. Concerned about a new weapon system of mass destruction, the American Secretary of State turns to Nobel Laureate physicist, Noah Schwartz. Autopsies are forwarded to the Centers for Disease Control and then to Schwartz. Tapping his world-renowned contacts, Schwartz finds a theory that was to be released at a famous scientific conference but then inexplicably withdrawn. One of the two referees is dead while the other directs a secret research laboratory in Algeria. Other powers learn of the laboratory and move against it. As China and Pakistan edge towards war, Noah Schwartz races to grasp the secret technology and avert nuclear disaster."
4060,Moonraker,thriller,"‘For several minutes he stood speechless, his eyes dazzled by the terrible beauty of the greatest weapon on earth’

He’s a self-made millionaire, head of the Moonraker rocket programme and loved by the press. So why is Sir Hugo Drax cheating at cards? Bond has just five days to uncover the sinister truth behind a national hero, in Ian Fleming’s third 007 adventure."
